"id" "day" "Dose" "LOGTV"
"90" 6 -2 0 5.11648867176129
"91" 6 0 0 5.42641004580579
"92" 6 2 0 5.7164671352766
"93" 6 5 0 6.18060022390888
"94" 6 7 0 6.23989648204383
"95" 6 9 0 6.61815955803614
"96" 6 12 0 6.85196511409631
"97" 6 14 0 7.06764695328388
"98" 6 16 0 7.20206519131841
"99" 6 20 0 7.7917821268986
"100" 6 23 0 8.12070114524967
"101" 6 26 0 8.16967176200467
"102" 6 28 0 8.27807805503892
"103" 7 -14 0 3.19999789158565
"104" 7 -12 0 3.10906095886099
"105" 7 -9 0 3.94848464076413
"106" 7 -6 0 4.19493921770104
"107" 7 -2 0 4.69313997023496
"108" 7 0 0 4.9056157458295
"109" 7 2 0 4.96117765335003
"110" 7 5 0 5.18850250054083
"111" 7 7 0 5.30133763239721
"112" 7 9 0 5.50434965420185
"113" 7 12 0 5.68313243009953
"114" 7 14 0 5.87285865076321
"115" 7 16 0 5.94533651666942
"116" 7 20 0 6.28570156783395
"117" 7 23 0 6.4459962861475
"118" 7 26 0 6.11886311516862
"119" 7 28 0 6.7968408007832
"120" 8 -14 0 2.67753785018332
"121" 8 -12 0 2.79760191169363
"122" 8 -9 0 3.28573551234557
"123" 8 -6 0 3.83732268253355
"124" 8 -2 0 4.36655474446766
"125" 8 0 0 3.83732268253355
"126" 8 2 0 4.69313997023496
"127" 8 5 0 5.21175878034478
"128" 8 7 0 5.14087945306896
"129" 8 9 0 6.00089842418995
"130" 8 12 0 5.94533651666942
"131" 8 14 0 6.14386369389643
"132" 8 16 0 6.22822327138075
"133" 8 20 0 6.53454658352378
"134" 8 23 0 7.26207319323896
"135" 8 26 0 6.93469284420893
"136" 8 28 0 7.13955614671756
"137" 9 -14 0 2.40405551499239
"138" 9 -12 0 2.40405551499239
"139" 9 -9 0 2.90876386992421
"140" 9 -6 0 3.10906095886099
"141" 9 -2 0 3.5867415555388
"142" 9 0 0 3.65341919939505
"143" 9 2 0 4.00112162048103
"144" 9 5 0 4.44552034469579
"145" 9 7 0 3.94848464076413
"146" 9 9 0 5.11648867176129
"147" 9 12 0 5.0664840413599
"148" 9 14 0 5.6141547602368
"149" 9 16 0 5.87285865076321
"150" 9 20 0 5.54185160750998
"151" 9 23 0 5.78099321290213
"152" 9 26 0 5.91676422421338
"153" 9 28 0 6.10620481219982
"154" 10 -14 0 2.67753785018332
"155" 10 -12 0 3.01225317715464
"156" 10 -9 0 3.28573551234557
"157" 10 -6 0 3.77849161280362
"158" 10 -2 0 3.89393317450782
"159" 10 0 0 4.36655474446766
"160" 10 2 0 4.52053597555778
"161" 10 5 0 4.52053597555778
"162" 10 7 0 4.69313997023496
"163" 10 9 0 5.21175878034478
"164" 10 12 0 5.93111840073761
"165" 10 14 0 5.7164671352766
"166" 10 16 0 6.29693757542769
"167" 10 20 0 6.39444482089118
"168" 10 23 0 6.51531555088019
"169" 10 26 0 6.72285320093945
"170" 10 28 0 6.64502594788593
"171" 11 -14 0 3.36683634425098
